latitude;longitude;heat_capacity_J_per_K
-33.0;129.0;8.274638265119998e+20
-33.0;135.0;5.4129069652e+20
-33.0;141.0;7.8397107768e+19
-33.0;147.0;4.6473411992e+19
-33.0;153.0;8.343046184640001e+20
-33.0;159.0;1.185465272e+21
-33.0;165.0;1.185465272e+21
-33.0;171.0;1.16266263216e+21
-33.0;177.0;1.17406395208e+21
-27.0;-177.0;1.185465272e+21
-27.0;-171.0;1.185465272e+21
-27.0;-165.0;1.185465272e+21
-27.0;-159.0;1.185465272e+21
-27.0;-153.0;1.185465272e+21
-27.0;-147.0;1.185465272e+21
-27.0;-141.0;1.185465272e+21
-27.0;-135.0;1.185465272e+21
-27.0;-129.0;1.185465272e+21
-27.0;-123.0;1.185465272e+21
-27.0;-117.0;1.185465272e+21
-27.0;-111.0;1.185465272e+21
-27.0;-105.0;1.185465272e+21
-27.0;-99.0;1.185465272e+21
-27.0;-93.0;1.185465272e+21
-27.0;-87.0;1.185465272e+21
-27.0;-81.0;1.185465272e+21
-27.0;-75.0;1.185465272e+21
-27.0;-69.0;2.5625769851999997e+20
-27.0;-63.0;4.533328e+19
-27.0;-57.0;5.9014863904e+19
-27.0;-51.0;1.77588591072e+20
-27.0;-45.0;1.1581021041919998e+21
-27.0;-39.0;1.185465272e+21
-27.0;-33.0;1.185465272e+21
-27.0;-27.0;1.185465272e+21
-27.0;-21.0;1.185465272e+21
-27.0;-15.0;1.185465272e+21
-27.0;-9.0;1.185465272e+21
-27.0;-3.0;1.185465272e+21
-27.0;3.0;1.185465272e+21
-27.0;9.0;1.185465272e+21
-27.0;15.0;7.19151287272e+20
-27.0;21.0;4.533328e+19
-27.0;27.0;4.9893807968e+19
-27.0;33.0;6.35921651856e+20
-27.0;39.0;1.185465272e+21
-27.0;45.0;1.045229036984e+21
-27.0;51.0;1.185465272e+21
-27.0;57.0;1.185465272e+21
-27.0;63.0;1.185465272e+21
-27.0;69.0;1.185465272e+21
-27.0;75.0;1.185465272e+21
-27.0;81.0;1.185465272e+21
-27.0;87.0;1.185465272e+21
-27.0;93.0;1.185465272e+21
-27.0;99.0;1.185465272e+21
-27.0;105.0;1.185465272e+21
-27.0;111.0;1.1524014442319999e+21
-27.0;117.0;9.7779351632e+19
-27.0;123.0;4.533328e+19
-27.0;129.0;4.533328e+19
-27.0;135.0;4.533328e+19
-27.0;141.0;4.533328e+19
-27.0;147.0;4.533328e+19
-27.0;153.0;6.00577560104e+20
-27.0;159.0;1.185465272e+21
-27.0;165.0;1.185465272e+21
-27.0;171.0;1.185465272e+21
-27.0;177.0;1.185465272e+21
-21.0;-177.0;1.183185008016e+21
-21.0;-171.0;1.184325140008e+21
-21.0;-165.0;1.185465272e+21
-21.0;-159.0;1.185465272e+21
-21.0;-153.0;1.185465272e+21
-21.0;-147.0;1.185465272e+21
-21.0;-141.0;1.185465272e+21
-21.0;-135.0;1.185465272e+21
-21.0;-129.0;1.185465272e+21
-21.0;-123.0;1.185465272e+21
-21.0;-117.0;1.185465272e+21
-21.0;-111.0;1.185465272e+21
-21.0;-105.0;1.185465272e+21
-21.0;-99.0;1.185465272e+21
-21.0;-93.0;1.185465272e+21
-21.0;-87.0;1.185465272e+21
-21.0;-81.0;1.185465272e+21
-21.0;-75.0;1.185465272e+21
-21.0;-69.0;3.78251821664e+20
-21.0;-63.0;4.533328e+19
-21.0;-57.0;4.533328e+19
-21.0;-51.0;4.7613543984e+19
-21.0;-45.0;1.55926083224e+20
-21.0;-39.0;9.505980816480001e+20
-21.0;-33.0;1.185465272e+21
-21.0;-27.0;1.185465272e+21
-21.0;-21.0;1.185465272e+21
-21.0;-15.0;1.185465272e+21
-21.0;-9.0;1.185465272e+21
-21.0;-3.0;1.185465272e+21
-21.0;3.0;1.185465272e+21
-21.0;9.0;1.184325140008e+21
-21.0;15.0;3.30366278e+20
-21.0;21.0;4.533328e+19
