latitude,longitude,water_frac,soil_frac,ice_frac
39.0,-45.0,100.0,0.0,0.0
39.0,-39.0,100.0,0.0,0.0
39.0,-33.0,100.0,0.0,0.0
39.0,-27.0,99.4,0.6,0.0
39.0,-21.0,100.0,0.0,0.0
39.0,-15.0,100.0,0.0,0.0
39.0,-9.0,59.4,40.6,0.0
39.0,-3.0,16.9,83.1,0.0
39.0,3.0,79.8,20.2,0.0
39.0,9.0,78.6,21.4,0.0
39.0,15.0,71.5,28.5,0.0
39.0,21.0,55.3,44.7,0.0
39.0,27.0,47.2,52.8,0.0
39.0,33.0,14.9,85.1,0.0
39.0,39.0,14.2,85.8,0.0
39.0,45.0,3.0,97.0,0.0
39.0,51.0,62.5,37.5,0.0
39.0,57.0,1.2,98.8,0.0
39.0,63.0,0.1,99.9,0.0
39.0,69.0,0.3,99.7,0.0
39.0,75.0,0.3,99.7,0.0
39.0,81.0,0.0,100.0,0.0
39.0,87.0,0.5,99.5,0.0
39.0,93.0,0.4,99.6,0.0
39.0,99.0,1.5,98.5,0.0
39.0,105.0,0.0,100.0,0.0
39.0,111.0,0.2,99.8,0.0
39.0,117.0,10.6,89.4,0.0
39.0,123.0,53.6,46.4,0.0
39.0,129.0,54.3,45.7,0.0
39.0,135.0,95.4,4.6,0.0
39.0,141.0,69.3,30.7,0.0
39.0,147.0,100.0,0.0,0.0
39.0,153.0,100.0,0.0,0.0
39.0,159.0,100.0,0.0,0.0
39.0,165.0,100.0,0.0,0.0
39.0,171.0,100.0,0.0,0.0
39.0,177.0,100.0,0.0,0.0
33.0,-177.0,100.0,0.0,0.0
33.0,-171.0,100.0,0.0,0.0
33.0,-165.0,100.0,0.0,0.0
33.0,-159.0,100.0,0.0,0.0
33.0,-153.0,100.0,0.0,0.0
33.0,-147.0,100.0,0.0,0.0
33.0,-141.0,100.0,0.0,0.0
33.0,-135.0,100.0,0.0,0.0
33.0,-129.0,100.0,0.0,0.0
33.0,-123.0,96.1,3.9,0.0
33.0,-117.0,39.2,60.8,0.0
33.0,-111.0,4.0,96.0,0.0
33.0,-105.0,0.1,99.9,0.0
33.0,-99.0,0.2,99.8,0.0
33.0,-93.0,0.6,99.4,0.0
33.0,-87.0,4.2,95.8,0.0
33.0,-81.0,27.6,72.4,0.0
33.0,-75.0,92.8,7.2,0.0
33.0,-69.0,100.0,0.0,0.0
33.0,-63.0,100.0,0.0,0.0
33.0,-57.0,100.0,0.0,0.0
33.0,-51.0,100.0,0.0,0.0
33.0,-45.0,100.0,0.0,0.0
33.0,-39.0,100.0,0.0,0.0
33.0,-33.0,100.0,0.0,0.0
33.0,-27.0,100.0,0.0,0.0
33.0,-21.0,100.0,0.0,0.0
33.0,-15.0,99.8,0.2,0.0
33.0,-9.0,64.0,36.0,0.0
33.0,-3.0,10.2,89.8,0.0
33.0,3.0,0.0,100.0,0.0
33.0,9.0,10.1,89.9,0.0
33.0,15.0,66.0,34.0,0.0
33.0,21.0,68.6,31.4,0.0
33.0,27.0,74.8,25.2,0.0
